impd,grp,date,tn,tp,tntp,secchi,chloro,phyco,ph,orp_top,orp_bottom,do_top,do_bottom,tds,temp_top,temp_bottom
EREP,1,4/19/2023,0.8,0.01,80,170,2,1,9,174,203.9,6.89,8.82,115,18.85,17.57
FHTC,1,4/19/2023,1.19,0.14,8.5,65,6,3,8.2,237.6,260.7,4.58,3.89,239,19.2,13.99
EREP,1,4/24/2023,1,0.02,50,170,2,0,9.2,200.9,203.9,8.29,10.03,104,16.12,15.97
FHTC,1,4/24/2023,1.22,0.13,9.38,56,31,16,9.1,236,247.9,8.99,9.51,205,15.48,15.2
EREP,1,5/2/2023,1.05,0.02,52.5,170,1,0,9.67,193.2,158.1,4.5,7.23,92,18.06,16.77
FHTC,1,5/2/2023,1.06,0.04,26.5,48,13,5,8.71,260,280.4,3.55,3.76,232,18.99,16.7
EREP,2,5/9/2023,0.78,0.01,78,170,3,1,9.13,193.6,234.9,2.98,9.42,85,24.7,22
FHTC,2,5/9/2023,0.82,0.02,41,150,2,1,8.08,231.4,241,1.97,2.77,242,25.5,24.2
EREP,2,5/16/2023,0.97,0.04,24.25,123,4,2,7.56,159.5,136.5,0.1,0.1,110,22.4,22.3
FHTC,2,5/16/2023,1.02,0.04,25.5,150,6,4,7.67,249.7,251.1,0.45,0.3,243,22.7,22.7
EREP,2,5/24/2023,0.98,0.01,98,127,7,5,7.82,236.8,261,0.93,0.14,117,24.8,23.5
FHTC,2,5/24/2023,1.01,0.01,101,150,5,2,7.79,255,220,1.75,1.1,242,25.2,24
EREP,3,5/31/2023,1,0.04,25,125,19,13,8.04,232.9,193.4,5.41,3.95,117,25.1,23.8
FHTC,3,5/31/2023,1.16,0.03,38.67,150,13,5,8.01,211.8,224.4,5.45,5.57,240,25.3,25.3
EREP,3,6/7/2023,1.44,0.28,5.14,13,8,5,7.73,179,189.5,2.93,2.11,61,20,15.6
FHTC,3,6/7/2023,1.24,0.33,3.76,26,6,4,7.66,242.1,249,3.86,1.97,143,24.77,15.27
EREP,3,6/15/2023,1.2,0.1,12,57,13,68,8.81,165.1,120.9,8.24,1.87,70,23.75,16.81
FHTC,3,6/15/2023,1.05,0.36,2.92,52,8,4,7.76,3.2,142,5.56,1.6,126,26.25,17.03
EREP,4,6/23/2023,1.49,0.06,24.83,22,9,36,8.8,130.2,155.5,5.29,2.66,73,29.02,25.2
FHTC,4,6/23/2023,1.31,0.27,4.85,21,13,33,8.06,187.6,-149.8,7.98,1.9,126,27.7,19.28
EREP,4,6/28/2023,1.15,0.06,19.17,59,21,29,7.49,236.7,-19.4,4.8,2.52,78,26.6,20.74
FHTC,4,6/28/2023,2.12,0.17,12.47,43,29,130,9.27,137.7,39.9,8.72,5.93,122,26.1,25.1
EREP,4,7/5/2023,1.33,0.09,14.78,43,32,54,7.68,201.5,-26,4.68,2.23,80,27.4,25.06
FHTC,4,7/5/2023,3.06,0.22,13.91,28,43,199,9.18,132,-169.9,6.67,2.29,106,26.3,24.2
